Denmark
No.,Pos.,Player,Date of birth (age),Caps,Club
23,MF,Kaká,22 April 1982 (aged 20),2,São Paulo
China
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,An Qi,21 June 1981 (aged 20),5,Dalian Shide
2,DF,Zhang Enhua,11 May 1974 (aged 28),65,Dalian Shide
3,DF,Yang Pu,30 March 1978 (aged 24),14,Beijing Guoan
4,DF,Wu Chengying,21 April 1975 (aged 27),53,Shanghai Shenhua
5,DF,Fan Zhiyi,22 January 1970 (aged 32),105,Dundee
6,MF,Shao Jiayi,10 April 1980 (aged 22),18,Beijing Guoan
7,DF,Sun Jihai,30 September 1977 (aged 24),59,Manchester City
8,MF,Li Tie,18 September 1977 (aged 24),76,Liaoning
9,MF,Ma Mingyu (c),10 August 1972 (aged 29),91,Sichuan Guancheng
10,FW,Hao Haidong,25 August 1970 (aged 31),95,Dalian Shide
11,MF,Yu Genwei,19 August 1976 (aged 25),17,Tianjin Teda
12,FW,Su Maozhen,30 July 1972 (aged 29),43,Shandong Luneng
13,MF,Gao Yao,13 July 1977 (aged 24),4,Shandong Luneng
14,DF,Li Weifeng,26 January 1978 (aged 24),55,Shenzhen Pingan
15,MF,Zhao Junzhe,18 April 1979 (aged 23),13,Liaoning Whowin
16,FW,Qu Bo,15 July 1981 (aged 20),16,Qingdao Hainiu
17,DF,Du Wei,9 February 1982 (aged 20),7,Shanghai Shenhua
18,MF,Li Xiaopeng,20 June 1975 (aged 26),26,Shandong Luneng
19,MF,Qi Hong,3 June 1976 (aged 25),36,Shanghai Zhongyuan
20,FW,Yang Chen,17 January 1974 (aged 28),26,Eintracht Frankfurt
21,DF,Xu Yunlong,17 February 1979 (aged 23),20,Beijing Guoan
22,GK,Jiang Jin,7 October 1969 (aged 32),52,Tianjin Teda
23,GK,Ou Chuliang,26 August 1968 (aged 33),74,Yunnan Hongta
Costa Rica
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Erick Lonnis,9 September 1965 (aged 36),74,Saprissa
2,DF,Jervis Drummond,8 September 1976 (aged 25),38,Saprissa
3,DF,Luis Marín,10 August 1974 (aged 27),74,Alajuelense
4,DF,Mauricio Wright,20 December 1970 (aged 31),40,Herediano
5,DF,Gilberto Martínez,1 October 1979 (aged 22),27,Saprissa
6,MF,Wilmer López,8 March 1971 (aged 31),68,Alajuelense
7,FW,Rolando Fonseca,6 June 1974 (aged 27),79,Saprissa
8,MF,Mauricio Solís,13 December 1972 (aged 29),84,Alajuelense
9,FW,Paulo Wanchope,31 July 1976 (aged 25),48,Manchester City
10,MF,Walter Centeno,6 October 1974 (aged 27),49,Saprissa
11,FW,Rónald Gómez,24 January 1975 (aged 27),53,OFI Crete
12,FW,Winston Parks,12 October 1981 (aged 20),3,Udinese
13,FW,Daniel Vallejos,27 May 1981 (aged 21),2,Herediano
14,DF,Juan José Rodríguez,23 June 1967 (aged 34),2,San Carlos
15,DF,Harold Wallace,7 September 1975 (aged 26),54,Alajuelense
16,FW,Steven Bryce,16 August 1977 (aged 24),33,Alajuelense
17,MF,Hernán Medford (c),23 May 1968 (aged 34),87,Saprissa
18,GK,Álvaro Mesén,24 December 1972 (aged 29),16,Alajuelense
19,MF,Rodrigo Cordero,4 December 1973 (aged 28),25,Herediano
20,FW,William Sunsing,12 May 1977 (aged 25),23,Herediano
21,DF,Pablo Chinchilla,21 December 1978 (aged 23),12,Alajuelense
22,DF,Carlos Castro,10 September 1978 (aged 23),22,Alajuelense
23,GK,Lester Morgan,2 May 1976 (aged 26),5,Herediano
Turkey
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Rüştü Reçber,10 May 1973 (aged 29),64,Fenerbahçe
2,DF,Emre Aşık,13 December 1973 (aged 28),16,Galatasaray
3,DF,Bülent Korkmaz,24 November 1968 (aged 33),68,Galatasaray
4,DF,Fatih Akyel,26 December 1977 (aged 24),36,Fenerbahçe
5,DF,Alpay Özalan,29 May 1973 (aged 29),62,Aston Villa
6,FW,Arif Erdem,2 January 1972 (aged 30),50,Galatasaray
7,MF,Okan Buruk,19 October 1973 (aged 28),26,Inter Milan
8,MF,Tugay Kerimoğlu,24 August 1970 (aged 31),69,Blackburn Rovers
9,FW,Hakan Şükür (c),1 September 1971 (aged 30),73,Parma
10,MF,Yıldıray Baştürk,24 December 1978 (aged 23),13,Bayer Leverkusen
11,FW,Hasan Şaş,1 August 1976 (aged 25),14,Galatasaray
12,GK,Ömer Çatkıç,15 October 1974 (aged 27),6,Gaziantepspor
13,MF,Muzzy Izzet,31 October 1974 (aged 27),7,Leicester City
14,MF,Tayfur Havutçu,23 April 1970 (aged 32),39,Beşiktaş
15,FW,Nihat Kahveci,23 November 1979 (aged 22),11,Real Sociedad
16,DF,Ümit Özat,30 October 1976 (aged 25),14,Fenerbahçe
17,FW,İlhan Mansız,10 August 1975 (aged 26),6,Beşiktaş
18,MF,Ergün Penbe,17 May 1972 (aged 30),21,Galatasaray
19,MF,Abdullah Ercan,8 December 1971 (aged 30),70,Fenerbahçe
20,DF,Hakan Ünsal,14 May 1973 (aged 29),25,Blackburn Rovers
21,MF,Emre Belözoğlu,7 September 1980 (aged 21),11,Inter Milan
22,MF,Ümit Davala,30 July 1973 (aged 28),24,Milan
23,GK,Zafer Özgültekin,10 March 1975 (aged 27),1,Ankaragücü
Poland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Jerzy Dudek,23 March 1973 (aged 29),21,Liverpool
2,DF,Tomasz Kłos,7 March 1973 (aged 29),37,1. FC Kaiserslautern
3,DF,Jacek Zieliński,10 October 1967 (aged 34),52,Legia Warszawa
4,DF,Michał Żewłakow,22 April 1976 (aged 26),25,Mouscron
5,DF,Tomasz Rzasa,11 March 1973 (aged 29),9,Feyenoord
6,DF,Tomasz Hajto,16 October 1972 (aged 29),44,Schalke 04
7,MF,Piotr Świerczewski,8 April 1972 (aged 30),65,Marseille
8,FW,Cezary Kucharski,17 February 1972 (aged 30),15,Legia Warszawa
9,FW,Paweł Kryszałowicz,23 June 1974 (aged 27),23,Eintracht Frankfurt
10,MF,Radosław Kałużny,2 February 1974 (aged 28),30,Energie Cottbus
