Argentina
No.,Pos.,Player,Date of birth (age),Caps,Club
18,MF,Olle Nordin,23 November 1949 (aged 28),,IFK Göteborg
19,DF,Kent Karlsson,25 November 1945 (aged 32),,IFK Eskilstuna
20,DF,Roland Andersson,28 March 1950 (aged 28),,Malmö FF
21,FW,Sanny Aslund,29 August 1952 (aged 25),,AIK
22,FW,Ralf Edström,7 October 1952 (aged 25),,IFK Göteborg
Iran
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Nasser Hejazi,14 December 1949 (aged 28),,Shahbaz
2,MF,Iraj Danaeifard,19 March 1951 (aged 27),,Taj
3,FW,Behtash Fariba,11 February 1955 (aged 23),,Pas
4,FW,Majid Bishkar,6 August 1956 (aged 21),,Shahbaz
5,DF,Javad Allahverdi,16 July 1954 (aged 23),,Persepolis
6,MF,Hassan Nayebagha,17 September 1950 (aged 27),,Guard FC
7,MF,Ali Parvin (c),12 October 1946 (aged 31),,Persepolis
8,MF,Ebrahim Ghasempour,24 August 1956 (aged 21),,Shahbaz
9,MF,Mohammad Sadeghi,17 March 1951 (aged 27),,Pas
10,FW,Hassan Roshan,2 June 1955 (aged 22),,Taj
11,DF,Ali Reza Ghesghayan,27 February 1954 (aged 24),,Bargh Shiraz
12,GK,Bahram Mavaddat,30 January 1950 (aged 28),,Sepahan
13,FW,Hamid Majd Teymouri,3 June 1953 (aged 24),,Shahbaz
14,DF,Hassan Nazari,19 August 1955 (aged 22),,Taj
15,DF,Andranik Eskandarian,31 December 1951 (aged 26),,Taj
16,FW,Nasser Nouraei,9 July 1956 (aged 21),,Guard FC
17,FW,Ghafour Jahani,18 June 1950 (aged 27),,Malavan
18,FW,Hossein Faraki,19 April 1956 (aged 22),,Pas
19,MF,Ali Shojaei,23 March 1953 (aged 25),,Sepahan
20,DF,Nasrollah Abdollahi,2 September 1951 (aged 26),,Shahbaz
21,DF,Hossein Kazerani,13 April 1947 (aged 31),,Pas
22,GK,Rasoul Korbekandi,27 January 1953 (aged 25),,Zob Ahan
Netherlands
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Piet Schrijvers,15 December 1946 (aged 31),16,Ajax
2,DF,Jan Poortvliet,21 September 1955 (aged 22),1,PSV
3,MF,Dick Schoenaker,30 November 1952 (aged 25),0,Ajax
4,DF,Adrie van Kraay,1 August 1953 (aged 24),13,PSV
5,DF,Ruud Krol (c),24 March 1949 (aged 29),52,Ajax
6,MF,Wim Jansen,28 October 1946 (aged 31),50,Feyenoord
7,DF,Piet Wildschut,25 October 1957 (aged 20),1,Twente
8,GK,Jan Jongbloed,25 November 1940 (aged 37),19,Roda JC
9,MF,Arie Haan,16 November 1948 (aged 29),24,Anderlecht
10,MF,René van de Kerkhof,16 September 1951 (aged 26),20,PSV
11,MF,Willy van de Kerkhof,16 September 1951 (aged 26),18,PSV
12,FW,Rob Rensenbrink,3 July 1947 (aged 30),34,Anderlecht
13,MF,Johan Neeskens,15 September 1951 (aged 26),38,Barcelona
14,MF,Johan Boskamp,21 October 1948 (aged 29),1,Molenbeek
15,DF,Hugo Hovenkamp,5 October 1950 (aged 27),7,AZ
16,FW,Johnny Rep,25 November 1951 (aged 26),23,Bastia
17,DF,Wim Rijsbergen,18 January 1952 (aged 26),25,Feyenoord
18,FW,Dick Nanninga,17 January 1949 (aged 29),1,Roda JC
19,GK,Pim Doesburg,28 October 1943 (aged 34),2,Sparta Rotterdam
20,DF,Wim Suurbier,16 January 1945 (aged 33),56,Schalke 04
21,FW,Harry Lubse,23 September 1951 (aged 26),1,PSV
22,DF,Ernie Brandts,3 February 1956 (aged 22),1,PSV
Peru
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ottorino Sartor,18 September 1945 (aged 32),,Colegio Nacional de Iquitos
2,DF,Jaime Duarte,27 February 1955 (aged 23),,Alianza Lima
3,DF,Rodolfo Manzo,5 June 1949 (aged 28),,Deportivo Municipal
4,DF,Héctor Chumpitaz (c),12 April 1944 (aged 34),,Sporting Cristal
5,DF,Rubén Toribio Díaz,17 April 1952 (aged 26),,Sporting Cristal
6,MF,José Velásquez,4 June 1952 (aged 25),,Alianza Lima
7,FW,Juan Muñante,4 May 1952 (aged 26),,Club UNAM
8,MF,César Cueto,16 June 1952 (aged 25),,Alianza Lima
9,MF,Percy Rojas,16 September 1949 (aged 28),,Sporting Cristal
10,MF,Teófilo Cubillas,8 March 1949 (aged 29),,Alianza Lima
11,FW,Juan Carlos Oblitas,16 February 1951 (aged 27),,Sporting Cristal
12,FW,Roberto Mosquera,21 June 1956 (aged 21),,Sporting Cristal
13,GK,Juan Cáceres,27 December 1949 (aged 28),,Alianza Lima
14,DF,José Navarro,24 September 1948 (aged 29),,Sporting Cristal
15,MF,Germán Leguía,2 January 1954 (aged 24),,Deportivo Municipal
16,MF,Raúl Gorriti,10 October 1956 (aged 21),,Sporting Cristal
17,MF,Alfredo Quesada,22 September 1949 (aged 28),,Sporting Cristal
18,MF,Ernesto Labarthe,2 June 1956 (aged 21),,Sport Boys
19,FW,Guillermo La Rosa,6 June 1952 (aged 25),,Alianza Lima
20,FW,Hugo Sotil,18 May 1946 (aged 32),,Alianza Lima
21,GK,Ramón Quiroga,23 July 1950 (aged 27),,Sporting Cristal
22,DF,Roberto Rojas,26 October 1955 (aged 22),,Alianza Lima
Scotland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Alan Rough,25 November 1951 (aged 26),18,Partick Thistle
2,DF,Sandy Jardine,31 December 1948 (aged 29),33,Rangers
3,DF,Willie Donachie,5 October 1951 (aged 26),32,Manchester City
4,DF,Martin Buchan,6 March 1949 (aged 29),28,Manchester United
5,DF,Gordon McQueen,26 June 1952 (aged 25),20,Manchester United
6,MF,Bruce Rioch (c),6 September 1947 (aged 30),22,Derby County
7,MF,Don Masson,26 August 1949 (aged 28),16,Derby County
8,FW,Kenny Dalglish,4 March 1951 (aged 27),54,Liverpool
9,FW,Joe Jordan,15 December 1951 (aged 26),30,Manchester United
10,MF,Asa Hartford,24 October 1950 (aged 27),24,Manchester City
11,MF,Willie Johnston,19 December 1946 (aged 31),21,West Bromwich Albion
12,GK,Jim Blyth,2 February 1955 (aged 23),2,Coventry City
13,DF,Stuart Kennedy,31 May 1953 (aged 25),3,Aberdeen
14,DF,Tom Forsyth,23 January 1949 (aged 29),19,Rangers
15,MF,Archie Gemmill,24 March 1947 (aged 31),26,Nottingham Forest
16,FW,Lou Macari,7 June 1949 (aged 28),22,Manchester United
17,FW,Derek Johnstone,4 November 1953 (aged 24),11,Rangers
18,MF,Graeme Souness,6 May 1953 (aged 25),6,Liverpool
19,FW,John Robertson,20 January 1953 (aged 25),2,Nottingham Forest
20,GK,Bobby Clark,26 September 1945 (aged 32),17,Aberdeen
21,FW,Joe Harper,11 January 1948 (aged 30),3,Aberdeen
22,DF,Kenny Burns,23 September 1953 (aged 24),11,Nottingham Forest
