England
No.,Pos.,Player,Date of birth (age),Caps,Club
5,MF,Ignacio Zoco,31 July 1939 (aged 26),19,Real Madrid
6,DF,Jesús Glaría,2 January 1942 (aged 24),7,Atlético Madrid
7,MF,José Ufarte,17 May 1941 (aged 25),6,Atlético Madrid
8,MF,Amancio,16 October 1939 (aged 26),9,Real Madrid
9,FW,Marcelino,29 April 1940 (aged 26),12,Real Zaragoza
10,FW,Luis Suárez,2 May 1935 (aged 31),29,Internazionale
11,FW,Francisco Gento (captain),21 October 1933 (aged 32),36,Real Madrid
12,GK,Antonio Betancort,13 March 1938 (aged 28),2,Real Madrid
13,GK,Miguel Reina,24 January 1946 (aged 20),0,Córdoba
14,DF,Feliciano Rivilla,21 August 1936 (aged 29),26,Atlético Madrid
15,DF,Severino Reija,25 November 1938 (aged 27),11,Real Zaragoza
16,DF,Ferran Olivella,22 June 1936 (aged 30),18,Barcelona
17,MF,Gallego,4 March 1944 (aged 22),0,Barcelona
18,MF,Pirri,11 March 1945 (aged 21),0,Real Madrid
19,FW,Josep Maria Fusté,15 April 1941 (aged 25),5,Barcelona
20,MF,Joaquín Peiró,29 January 1936 (aged 30),10,Internazionale
21,MF,Adelardo,26 September 1939 (aged 26),10,Atlético Madrid
22,FW,Carlos Lapetra,29 November 1938 (aged 27),12,Real Zaragoza
Switzerland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Karl Elsener,13 August 1934 (aged 31),32,Lausanne
2,DF,Willy Allemann,10 June 1942 (aged 24),1,Grenchen
3,DF,Kurt Armbruster,16 September 1934 (aged 31),3,Lausanne
4,MF,Heinz Bäni,18 November 1936 (aged 29),7,Zürich
5,DF,René Brodmann (captain),25 October 1933 (aged 32),3,Zürich
6,MF,Richard Dürr,1 December 1938 (aged 27),17,Lausanne
7,MF,Hansruedi Führer,24 December 1937 (aged 28),6,Young Boys
8,MF,Vittore Gottardi,24 September 1941 (aged 24),0,Lugano
9,MF,André Grobéty,22 June 1933 (aged 33),39,Lausanne
10,FW,Robert Hosp,13 December 1939 (aged 26),11,Lausanne
11,FW,Köbi Kuhn,12 October 1943 (aged 22),18,Zürich
12,GK,Léo Eichmann,24 December 1936 (aged 29),1,La Chaux-de-Fonds
13,FW,Fritz Künzli,8 January 1946 (aged 20),2,Zürich
14,DF,Werner Leimgruber,2 September 1934 (aged 31),9,Zürich
15,MF,Karl Odermatt,17 December 1942 (aged 23),6,Basel
16,FW,René-Pierre Quentin,5 August 1943 (aged 22),7,Sion
17,FW,Jean-Claude Schindelholz,11 October 1940 (aged 25),10,Servette
18,DF,Heinz Schneiter,12 April 1935 (aged 31),43,Young Boys
19,MF,Xavier Stierli,29 October 1940 (aged 25),7,Zürich
20,DF,Ely Tacchella,25 May 1936 (aged 30),26,Lausanne
21,MF,Georges Vuilleumier,21 September 1944 (aged 21),5,Lausanne
22,GK,Mario Prosperi,4 August 1945 (aged 20),3,Lugano
Germany
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Hans Tilkowski,12 July 1935 (aged 30),32,Borussia Dortmund
