Russia
No.,Pos.,Player,Date of birth (age),Caps,Club
5,DF,Cesare Maldini,5 February 1932 (aged 30),6,Milan
6,MF,Giovanni Trapattoni,17 March 1939 (aged 23),7,Milan
7,FW,Bruno Mora,29 March 1937 (aged 25),9,Juventus
8,FW,Humberto Maschio,20 February 1933 (aged 29),1,Atalanta
9,FW,José Altafini,24 July 1938 (aged 23),4,Milan
10,FW,Omar Sívori,2 October 1935 (aged 26),7,Juventus
11,FW,Giampaolo Menichelli,29 June 1938 (aged 23),2,Roma
12,GK,Carlo Mattrel,14 April 1937 (aged 25),1,Palermo
13,GK,Enrico Albertosi,2 November 1939 (aged 22),1,Fiorentina
14,FW,Gianni Rivera,18 August 1943 (aged 18),1,Milan
15,FW,Angelo Sormani,3 July 1939 (aged 22),0,Mantova
16,DF,Enzo Robotti,13 June 1935 (aged 26),6,Fiorentina
17,FW,Ezio Pascutti,1 June 1937 (aged 24),1,Bologna
18,DF,Mario David,13 March 1934 (aged 28),2,Milan
19,DF,Francesco Janich,27 March 1937 (aged 25),0,Bologna
20,MF,Paride Tumburus,8 March 1939 (aged 23),0,Bologna
21,MF,Giorgio Ferrini,18 August 1939 (aged 22),1,Torino
22,FW,Giacomo Bulgarelli,24 October 1940 (aged 21),0,Bologna
Switzerland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Karl Elsener,13 August 1934 (aged 27),,Grasshopper Club Zürich
2,DF,Ely Tacchella,25 May 1936 (aged 26),,Lausanne Sports
3,MF,André Grobéty,22 June 1933 (aged 28),,Lausanne Sports
4,MF,Willy Kernen,6 August 1929 (aged 32),,FC La Chaux-de-Fonds
5,DF,Fritz Morf,29 January 1928 (aged 34),,FC Grenchen
6,DF,Peter Rösch,15 September 1930 (aged 31),,Servette FC
7,DF,Heinz Schneiter,12 April 1935 (aged 27),,Young Boys Bern
8,FW,Rolf Wüthrich,4 September 1938 (aged 23),,Servette FC
9,FW,Roberto Frigerio,16 May 1938 (aged 24),,FC La Chaux-de-Fonds
10,DF,Fritz Kehl,12 July 1937 (aged 24),,FC Zurich
11,DF,Eugen Meier,30 April 1930 (aged 32),,Young Boys Bern
12,FW,Marcel Vonlanthen,8 September 1933 (aged 28),,Lausanne Sports
13,MF,Hans Weber,8 September 1934 (aged 27),,FC Basel
14,MF,Anton Allemann,6 January 1936 (aged 26),,A.C. Mantova
15,FW,Charles Antenen (captain),3 November 1929 (aged 32),,FC La Chaux-de-Fonds
16,FW,Richard Dürr,1 December 1938 (aged 23),,Lausanne Sports
17,FW,Norbert Eschmann,19 March 1933 (aged 29),,Stade Français Paris
18,FW,Philippe Pottier,9 July 1938 (aged 23),,Stade Français Paris
19,FW,Gilbert Rey,30 October 1930 (aged 31),,Lausanne Sports
20,MF,Roger Vonlanthen,5 December 1930 (aged 31),,Lausanne Sports
21,GK,Antonio Permunian,15 August 1930 (aged 31),,FC Luzern
22,GK,Kurt Stettler,21 August 1932 (aged 29),,FC Basel
Brazil
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Gilmar,22 August 1930 (aged 31),,Santos
2,DF,Djalma Santos,27 February 1929 (aged 33),,Palmeiras
3,DF,Mauro (captain),30 August 1930 (aged 31),,Santos
4,MF,Zito,18 August 1932 (aged 29),,Santos
5,DF,Zózimo,19 June 1932 (aged 29),,Bangu
6,DF,Nílton Santos,16 May 1925 (aged 37),,Botafogo
7,FW,Garrincha,28 October 1933 (aged 28),,Botafogo
8,MF,Didi,8 October 1929 (aged 32),,Botafogo
9,FW,Coutinho,11 June 1943 (aged 18),,Santos
10,FW,Pelé,23 October 1940 (aged 21),,Santos
11,FW,Pepe,25 February 1935 (aged 27),,Santos
12,DF,Jair Marinho,17 July 1936 (aged 25),,Fluminense
13,DF,Bellini,7 June 1930 (aged 31),,São Paulo
14,DF,Jurandir,12 November 1940 (aged 21),,São Paulo
15,DF,Altair,21 January 1938 (aged 24),,Fluminense
16,MF,Zequinha,18 November 1934 (aged 27),,Palmeiras
17,MF,Mengálvio,17 December 1939 (aged 22),,Santos
18,FW,Jair da Costa,9 July 1940 (aged 21),,Portuguesa
19,FW,Vavá,12 November 1934 (aged 27),,Palmeiras
20,FW,Amarildo,29 June 1939 (aged 22),,Botafogo
21,FW,Zagallo,9 August 1931 (aged 30),,Botafogo
22,GK,Castilho,27 November 1927 (aged 34),,Fluminense
Czechoslovakia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Viliam Schrojf,2 August 1931 (aged 30),22,ŠK Slovan Bratislava
2,DF,Jan Lála,10 September 1936 (aged 25),1,Dynamo Praha
3,DF,Ján Popluhár,12 August 1935 (aged 26),27,ŠK Slovan Bratislava
4,DF,Ladislav Novák (captain),5 December 1931 (aged 30),59,Dukla Prague
5,DF,Svatopluk Pluskal,28 October 1930 (aged 31),38,Dukla Prague
6,MF,Josef Masopust,9 February 1931 (aged 31),44,Dukla Prague
7,MF,Jozef Štibrányi,11 April 1940 (aged 22),3,Spartak Trnava
8,FW,Adolf Scherer,5 May 1938 (aged 24),18,TJ Slovnaft Bratislava
9,FW,Pavol Molnár,13 February 1936 (aged 26),20,ŠK Slovan Bratislava
10,FW,Jozef Adamec,26 February 1942 (aged 20),4,Dukla Prague
11,FW,Josef Jelínek,9 January 1941 (aged 21),4,Dukla Prague
12,DF,Jiří Tichý,6 December 1933 (aged 28),13,TJ Slovnaft Bratislava
13,GK,František Schmucker,28 January 1940 (aged 22),1,RH Brno
14,FW,Václav Mašek,21 March 1941 (aged 21),7,Spartak Praha Sokolovo
15,FW,Vladimír Koiš,9 August 1935 (aged 26),1,CKD Praha
16,DF,Titus Buberník,12 October 1933 (aged 28),17,TJ Slovnaft Bratislava
17,FW,Tomáš Pospíchal,26 June 1936 (aged 25),10,Baník Ostrava
18,FW,Josef Kadraba,29 September 1933 (aged 28),9,SONP Kladno
19,FW,Andrej Kvašňák,19 May 1936 (aged 26),12,Spartak Praha Sokolovo
20,FW,Jaroslav Borovička,26 January 1931 (aged 31),21,Dukla Prague
21,DF,Jozef Bomba,30 March 1939 (aged 23),6,Tatran Prešov
22,GK,Pavel Kouba,1 September 1938 (aged 23),0,Dukla Prague
Mexico
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Antonio Carbajal (captain),7 June 1929 (aged 32),,Club León
2,DF,Jesús del Muro,30 November 1937 (aged 24),,CF Atlas
3,DF,Guillermo Sepúlveda,28 February 1934 (aged 28),,CD Guadalajara
4,DF,José Villegas,20 June 1934 (aged 27),,CD Guadalajara
5,DF,Raúl Cárdenas,30 October 1928 (aged 33),,CD Zacatepec
6,MF,Pedro Nájera,3 February 1929 (aged 33),,Club América
7,FW,Alfredo del Águila,3 January 1935 (aged 27),,Club Toluca
8,MF,Salvador Reyes,20 September 1936 (aged 25),,CD Guadalajara
9,FW,Héctor Hernández,6 December 1935 (aged 26),,CD Guadalajara
10,FW,Guillermo Ortiz Camargo,25 June 1939 (aged 22),,Necaxa
11,FW,Isidoro Díaz,14 March 1940 (aged 22),,CD Guadalajara
12,GK,Jaime Gómez,29 December 1929 (aged 32),,CD Guadalajara
13,DF,Arturo Chaires,14 March 1937 (aged 25),,CD Guadalajara
14,MF,Pedro Romero,12 April 1937 (aged 25),,Club Toluca
15,DF,Ignacio Jáuregui,31 July 1938 (aged 23),,CF Atlas
16,MF,Salvador Farfán,22 June 1932 (aged 29),,Atlante F.C.
17,FW,Felipe Ruvalcaba,16 February 1941 (aged 21),,CD Oro
18,FW,Alfredo Hernández,18 June 1935 (aged 26),,CF Monterrey
19,FW,Antonio Jasso,11 March 1935 (aged 27),,Club América
