Austria
No.,Pos.,Player,Date of birth (age),Caps,Club
21,DF,Mauro Galvão,19 December 1961 (aged 28),20,Botafogo
22,GK,Zé Carlos,7 February 1962 (aged 28),3,Flamengo
Costa Rica
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Luis Gabelo Conejo,1 January 1960 (aged 30),N/A,AD Ramonense
2,DF,Vladimir Quesada,12 May 1966 (aged 24),N/A,Deportivo Saprissa
3,DF,Róger Flores (c),26 May 1959 (aged 31),N/A,Deportivo Saprissa
4,DF,Rónald González Brenes,8 August 1970 (aged 19),4,Deportivo Saprissa
5,DF,Marvin Obando,4 April 1960 (aged 30),N/A,CS Herediano
6,MF,José Carlos Chaves,3 September 1958 (aged 31),N/A,LD Alajuelense
7,FW,Hernán Medford,23 May 1968 (aged 22),18,Deportivo Saprissa
8,MF,Germán Chavarría,19 March 1958 (aged 32),N/A,CS Herediano
9,MF,Alexandre Guimarães,7 November 1959 (aged 30),N/A,Deportivo Saprissa
10,MF,Oscar Ramírez,8 December 1964 (aged 25),25,Alajuelense
11,FW,Claudio Jara,6 May 1959 (aged 31),N/A,CS Herediano
12,MF,Róger Gómez,7 February 1965 (aged 25),N/A,CS Cartaginés
13,MF,Miguel Davis,18 June 1966 (aged 23),N/A,Alajuelense
14,MF,Juan Cayasso,24 June 1961 (aged 28),N/A,Deportivo Saprissa
15,DF,Rónald Marín,2 November 1962 (aged 27),3,CS Herediano
16,FW,José Jaikel,3 April 1966 (aged 24),N/A,Deportivo Saprissa
17,MF,Roy Myers,13 April 1969 (aged 21),0,AD Limonense
18,DF,Geovanny Jara,2 July 1969 (aged 20),N/A,CS Herediano
19,DF,Héctor Marchena,4 January 1965 (aged 25),N/A,CS Cartaginés
20,DF,Mauricio Montero,19 October 1963 (aged 26),21,Alajuelense
21,GK,Hermidio Barrantes,2 September 1964 (aged 25),N/A,AD Municipal Puntarenas
22,GK,Miguel Segura,2 September 1963 (aged 26),N/A,Deportivo Saprissa
Scotland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Jim Leighton,24 July 1958 (aged 31),55,Manchester United
2,DF,Alex McLeish,21 January 1959 (aged 31),69,Aberdeen
3,DF,Roy Aitken (c),24 November 1958 (aged 31),53,Newcastle United
4,DF,Richard Gough,5 April 1962 (aged 28),49,Rangers
5,MF,Paul McStay,22 October 1964 (aged 25),46,Celtic
6,DF,Maurice Malpas,3 August 1962 (aged 27),34,Dundee United
7,FW,Mo Johnston,13 April 1963 (aged 27),33,Rangers
8,MF,Jim Bett,25 November 1959 (aged 30),24,Aberdeen
9,FW,Ally McCoist,24 September 1962 (aged 27),23,Rangers
10,MF,Murdo MacLeod,24 September 1958 (aged 31),14,Borussia Dortmund
11,DF,Gary Gillespie,5 July 1960 (aged 29),11,Liverpool
12,GK,Andy Goram,13 April 1964 (aged 26),9,Hibernian
13,FW,Gordon Durie,6 December 1965 (aged 24),6,Chelsea
14,FW,Alan McInally,10 February 1963 (aged 27),7,Bayern Munich
15,DF,Craig Levein,22 October 1964 (aged 25),5,Heart of Midlothian
16,MF,Stuart McCall,10 June 1964 (aged 25),5,Everton
17,DF,Stewart McKimmie,27 October 1962 (aged 27),4,Aberdeen
18,MF,John Collins,31 January 1968 (aged 22),4,Hibernian
19,DF,David McPherson,28 January 1964 (aged 26),4,Heart of Midlothian
20,MF,Gary McAllister,25 December 1964 (aged 25),3,Leicester City
21,FW,Robert Fleck,11 August 1965 (aged 24),1,Norwich City
22,GK,Bryan Gunn,22 December 1963 (aged 26),1,Norwich City
Sweden
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Sven Andersson,6 October 1963 (aged 26),1,Örgryte
2,DF,Jan Eriksson,24 August 1967 (aged 22),1,AIK
3,DF,Glenn Hysén (c),30 October 1959 (aged 30),64,Liverpool
4,DF,Peter Larsson,8 March 1961 (aged 29),36,Ajax
5,DF,Roger Ljung,8 January 1966 (aged 24),19,Young Boys
6,DF,Roland Nilsson,27 November 1963 (aged 26),32,Sheffield Wednesday
7,MF,Niklas Nyhlén,21 March 1966 (aged 24),8,Malmö FF
8,MF,Stefan Schwarz,18 April 1969 (aged 21),6,Malmö FF
9,MF,Leif Engqvist,30 July 1962 (aged 27),15,Malmö FF
10,MF,Klas Ingesson,20 August 1968 (aged 21),11,IFK Göteborg
11,MF,Ulrik Jansson,2 February 1968 (aged 22),0,Östers IF
12,GK,Lars Eriksson,21 September 1965 (aged 24),3,IFK Norrköping
13,MF,Anders Limpar,24 September 1965 (aged 24),21,Cremonese
14,MF,Joakim Nilsson,31 March 1966 (aged 24),19,Malmö FF
15,MF,Glenn Strömberg,5 January 1960 (aged 30),49,Atalanta
16,MF,Jonas Thern,20 March 1967 (aged 23),21,Benfica
17,FW,Tomas Brolin,29 November 1969 (aged 20),2,IFK Norrköping
18,FW,Johnny Ekström,5 March 1965 (aged 25),32,Cannes
19,DF,Mats Gren,20 December 1963 (aged 26),10,Grasshopper
20,FW,Mats Magnusson,10 July 1963 (aged 26),29,Benfica
21,FW,Stefan Pettersson,22 March 1963 (aged 27),19,Ajax
22,GK,Thomas Ravelli,13 August 1959 (aged 30),72,IFK Göteborg
Colombia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,René Higuita,27 August 1966 (aged 23),33,Atlético Nacional
2,DF,Andrés Escobar,13 March 1967 (aged 23),N/A,Young Boys
3,DF,Gildardo Gómez,13 October 1963 (aged 26),N/A,Atlético Nacional
4,DF,Luis Fernando Herrera,12 June 1962 (aged 27),N/A,Atlético Nacional
5,MF,León Villa,12 January 1960 (aged 30),N/A,Atlético Nacional
6,DF,José Ricardo Pérez,24 October 1963 (aged 26),N/A,Atlético Nacional
7,FW,Carlos Estrada,1 November 1961 (aged 28),N/A,Millonarios
8,MF,Gabriel Gómez,8 December 1959 (aged 30),N/A,Independiente Medellín
9,FW,Miguel Guerrero,7 September 1967 (aged 22),N/A,América de Cali
10,MF,Carlos Valderrama (c),2 September 1961 (aged 28),26,Montpellier
11,MF,Bernardo Redín,26 February 1963 (aged 27),N/A,Deportivo Cali
12,GK,Eduardo Niño,8 August 1967 (aged 22),N/A,Independiente Santa Fe
13,DF,Carlos Hoyos,28 February 1962 (aged 28),24,Atlético Junior
14,MF,Leonel Álvarez,29 July 1965 (aged 24),35,Atlético Nacional
15,DF,Luis Carlos Perea,29 December 1963 (aged 26),33,Atlético Nacional
16,FW,Arnoldo Iguarán,18 January 1957 (aged 33),58,Millonarios
17,DF,Geovanis Cassiani,10 January 1970 (aged 20),N/A,Millonarios
18,DF,Wilmer Cabrera,15 September 1967 (aged 22),N/A,América de Cali
19,MF,Freddy Rincón,14 August 1966 (aged 23),9,América de Cali
20,MF,Luis Fajardo,18 August 1963 (aged 26),N/A,Atlético Nacional
21,DF,Alexis Mendoza,8 November 1961 (aged 28),N/A,Atlético Junior
22,FW,Rubén Darío Hernández,19 February 1965 (aged 25),N/A,Millonarios
UA Emirates
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Abdullah Musa,2 March 1958 (aged 32),N/A,Al-Ahli
2,DF,Khalil Ghanim,12 November 1964 (aged 25),N/A,Al Khaleej Club
3,MF,Ali Thani Jumaa,18 August 1968 (aged 21),N/A,Sharjah
4,DF,Mubarak Ghanim,3 September 1963 (aged 26),N/A,Al Khaleej Club
5,MF,Abdualla Sultan,1 October 1963 (aged 26),N/A,Al Khaleej Club
6,DF,Abdulrahman Mohamed,1 October 1963 (aged 26),N/A,Al-Nasr
7,FW,Fahad Khamees (c),24 January 1962 (aged 28),N/A,Al-Wasl
8,MF,Khalid Ismaïl,7 July 1965 (aged 24),N/A,Al-Nasr
9,FW,Abdulaziz Mohamed,12 December 1965 (aged 24),N/A,Sharjah
10,FW,Adnan Al Talyani,30 October 1964 (aged 25),N/A,Al Shaab
11,FW,Zuhair Bakheet,13 July 1967 (aged 22),N/A,Al-Wasl
12,FW,Hussain Ghuloum,24 September 1969 (aged 20),N/A,Sharjah
13,MF,Hassan Mohamed,23 August 1962 (aged 27),N/A,Al-Wasl
14,MF,Nasir Khamees,2 August 1965 (aged 24),N/A,Al-Wasl
15,DF,Ibrahim Meer,16 July 1967 (aged 22),N/A,Sharjah
16,DF,Mohamed Salim,13 January 1968 (aged 22),N/A,Al-Ahli
17,GK,Muhsin Musabah,1 October 1964 (aged 25),N/A,Sharjah
18,MF,Fahad Abdulrahman,10 October 1962 (aged 27),N/A,Al-Wasl
19,DF,Eissa Meer,16 July 1967 (aged 22),N/A,Sharjah
20,DF,Yousuf Hussain,8 July 1965 (aged 24),N/A,Sharjah
21,DF,Abdulrahman Al-Haddad,23 March 1966 (aged 24),N/A,Sharjah
22,GK,Abdulqadir Hassan,15 April 1962 (aged 28),N/A,Al Shabab
West Germany
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Bodo Illgner,7 April 1967 (aged 23),15,1. FC Köln
2,DF,Stefan Reuter,16 October 1966 (aged 23),16,Bayern Munich
3,DF,Andreas Brehme,9 November 1960 (aged 29),51,Internazionale
4,DF,Jürgen Kohler,6 October 1965 (aged 24),27,Bayern Munich
5,DF,Klaus Augenthaler,26 September 1957 (aged 32),20,Bayern Munich
6,DF,Guido Buchwald,24 January 1961 (aged 29),32,VfB Stuttgart
7,MF,Pierre Littbarski,16 April 1960 (aged 30),67,1. FC Köln
8,MF,Thomas Häßler,30 May 1966 (aged 24),12,1. FC Köln
9,FW,Rudi Völler,13 April 1960 (aged 30),63,Roma
10,MF,Lothar Matthäus (c),21 March 1961 (aged 29),74,Internazionale
