Mexico
No.,Pos.,Player,Date of birth (age),Caps,Club
20,FW,Dario,4 March 1946 (aged 24),3,Atlético Mineiro
21,DF,Zé Maria,18 May 1949 (aged 21),1,Portuguesa
22,GK,Leão,11 July 1949 (aged 20),2,Palmeiras
England
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Gordon Banks,30 December 1937 (aged 32),59,Stoke City
2,DF,Keith Newton,23 June 1941 (aged 28),24,Everton
3,DF,Terry Cooper,12 July 1944 (aged 25),8,Leeds United
4,MF,Alan Mullery,23 November 1941 (aged 28),27,Tottenham Hotspur
5,DF,Brian Labone,23 January 1940 (aged 30),23,Everton
6,DF,Bobby Moore (c),12 April 1941 (aged 29),80,West Ham United
7,FW,Francis Lee,29 April 1944 (aged 26),14,Manchester City
8,MF,Alan Ball,12 May 1945 (aged 25),41,Everton
9,MF,Bobby Charlton,11 October 1937 (aged 32),102,Manchester United
10,FW,Geoff Hurst,8 December 1941 (aged 28),38,West Ham United
11,MF,Martin Peters,8 November 1943 (aged 26),38,Tottenham Hotspur
12,GK,Peter Bonetti,27 September 1941 (aged 28),6,Chelsea
13,GK,Alex Stepney,18 September 1942 (aged 27),1,Manchester United
14,DF,Tommy Wright,21 October 1944 (aged 25),9,Everton
15,DF,Nobby Stiles,18 May 1942 (aged 28),28,Manchester United
16,MF,Emlyn Hughes,28 August 1947 (aged 22),6,Liverpool
17,DF,Jack Charlton,8 May 1935 (aged 35),34,Leeds United
18,DF,Norman Hunter,29 October 1943 (aged 26),13,Leeds United
19,MF,Colin Bell,26 February 1946 (aged 24),11,Manchester City
20,FW,Peter Osgood,20 February 1947 (aged 23),1,Chelsea
21,FW,Allan Clarke,31 July 1946 (aged 23),0,Leeds United
22,FW,Jeff Astle,13 May 1942 (aged 28),3,West Bromwich Albion
Czechoslovakia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ivo Viktor,21 May 1942 (aged 28),19,VTJ Dukla Praha
2,DF,Karol Dobiaš,18 December 1947 (aged 22),9,Spartak TAZ Trnava
3,DF,Václav Migas,16 September 1944 (aged 25),4,TJ Sparta ČKD Praha
4,DF,Vladimír Hagara,7 November 1943 (aged 26),10,Spartak TAZ Trnava
5,DF,Alexander Horváth (c),28 December 1938 (aged 31),24,TJ Slovan CHZJD
6,FW,Andrej Kvašňák,19 May 1936 (aged 34),49,RFC Malinois
7,MF,Bohumil Veselý,18 June 1945 (aged 24),13,TJ Sparta ČKD Praha
8,FW,Ladislav Petráš,1 December 1946 (aged 23),1,TJ Internacionál Slovnaft
9,MF,Ladislav Kuna,3 April 1947 (aged 23),22,Spartak TAZ Trnava
10,FW,Jozef Adamec,26 February 1942 (aged 28),30,Spartak TAZ Trnava
11,FW,Karol Jokl,29 August 1945 (aged 24),18,TJ Slovan CHZJD
12,DF,Ján Pivarník,13 November 1947 (aged 22),6,VSS Košice
13,GK,Anton Flešár,8 May 1944 (aged 26),1,Lokomotíva Košice
14,DF,Vladimír Hrivnák,23 April 1945 (aged 25),4,TJ Slovan CHZJD
15,DF,Ján Zlocha,24 March 1942 (aged 28),3,TJ Slovan CHZJD
16,MF,Ivan Hrdlička,20 November 1943 (aged 26),13,TJ Slovan CHZJD
17,MF,Jaroslav Pollák,11 July 1947 (aged 22),5,VSS Košice
18,MF,František Veselý,7 December 1943 (aged 26),16,Slavia Prague
19,MF,Josef Jurkanin,5 March 1949 (aged 21),8,TJ Sparta ČKD Praha
20,FW,Milan Albrecht,16 July 1950 (aged 19),2,Jednota Trenčín
21,FW,Ján Čapkovič,11 January 1948 (aged 22),4,TJ Slovan CHZJD
22,GK,Alexander Vencel,8 February 1944 (aged 26),12,TJ Slovan CHZJD
Romania
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Necula Răducanu,10 May 1946 (aged 24),9,Rapid București
2,DF,Lajos Sătmăreanu,21 February 1944 (aged 26),20,Steaua București
3,DF,Nicolae Lupescu,17 December 1940 (aged 29),7,Rapid București
4,DF,Mihai Mocanu,24 February 1942 (aged 28),25,Petrolul Ploiești
5,MF,Cornel Dinu,2 August 1948 (aged 21),16,Dinamo București
6,MF,Dan Coe,8 September 1941 (aged 28),39,Rapid București
7,MF,Emerich Dembrovschi,6 October 1945 (aged 24),11,Dinamo Bacău
8,FW,Nicolae Dobrin,26 August 1947 (aged 22),24,Argeș Pitești
9,FW,Florea Dumitrache,22 May 1948 (aged 22),13,Dinamo București
10,MF,Radu Nunweiller,16 November 1944 (aged 25),14,Dinamo București
11,FW,Mircea Lucescu (c),29 July 1945 (aged 24),25,Dinamo București
12,DF,Mihai Ivăncescu,22 March 1942 (aged 28),0,Steagul Roșu Brașov
13,DF,Augustin Deleanu,23 August 1944 (aged 25),11,Dinamo București
14,DF,Vasile Gergely,28 October 1941 (aged 28),35,Dinamo București
15,DF,Ion Dumitru,2 January 1950 (aged 20),3,Rapid București
16,MF,Alexandru Neagu,19 July 1948 (aged 21),4,Rapid București
17,MF,Gheorghe Tătaru,5 May 1948 (aged 22),0,Steaua București
18,FW,Marin Tufan,14 October 1942 (aged 27),2,Farul Constanța
19,FW,Flavius Domide,11 May 1946 (aged 24),6,UTA Arad
20,DF,Nicolae Pescaru,27 March 1943 (aged 27),1,Steagul Roșu Brașov
21,GK,Stere Adamache,17 August 1941 (aged 28),2,Steagul Roșu Brașov
22,GK,Gheorghe Gornea,2 August 1944 (aged 25),4,UTA Arad
Germany
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Sepp Maier,28 February 1944 (aged 26),19,Bayern Munich
2,DF,Horst-Dieter Höttges,10 September 1943 (aged 26),49,Werder Bremen
3,DF,Karl-Heinz Schnellinger,31 March 1939 (aged 31),41,Milan
4,MF,Franz Beckenbauer,11 September 1945 (aged 24),38,Bayern Munich
