Costa Rica
No.,Pos.,Player,Date of birth (age),Caps,Club
4,DF,Carlos Gamarra ,17 February 1971 (aged 35),106,Palmeiras
5,DF,Julio César Cáceres,5 October 1979 (aged 26),32,River Plate
6,MF,Carlos Bonet,2 October 1977 (aged 28),29,Libertad
7,FW,Salvador Cabañas,5 August 1980 (aged 25),15,Jaguares
8,MF,Édgar Barreto,15 July 1984 (aged 21),15,NEC
9,FW,Roque Santa Cruz,16 August 1981 (aged 24),42,Bayern Munich
10,MF,Roberto Acuña,25 March 1972 (aged 34),93,Deportivo La Coruña
11,MF,Diego Gavilán,1 March 1980 (aged 26),39,Newell's Old Boys
12,GK,Derlis Gómez,2 November 1972 (aged 33),5,Sportivo Luqueño
13,MF,Carlos Paredes,16 July 1976 (aged 29),68,Reggina
14,DF,Paulo da Silva,1 February 1980 (aged 26),33,Toluca
15,DF,Julio César Manzur,22 June 1981 (aged 24),13,Santos
16,MF,Cristian Riveros,16 October 1982 (aged 23),9,Libertad
17,MF,José Montiel,19 March 1988 (aged 18),6,Olimpia
18,FW,Nelson Valdez,28 November 1983 (aged 22),11,Werder Bremen
19,MF,Julio dos Santos,7 May 1983 (aged 23),17,Bayern Munich
20,FW,Dante López,16 August 1983 (aged 22),7,Genoa
21,DF,Denis Caniza,29 August 1974 (aged 31),74,Cruz Azul
22,GK,Aldo Bobadilla,20 April 1976 (aged 30),5,Libertad
23,FW,Nelson Cuevas,10 January 1980 (aged 26),35,Pachuca
Sweden
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Andreas Isaksson,3 October 1981 (aged 24),39,Rennes
2,DF,Mikael Nilsson,24 June 1978 (aged 27),27,Panathinaikos
3,DF,Olof Mellberg ,3 September 1977 (aged 28),64,Aston Villa
4,DF,Teddy Lučić,15 April 1973 (aged 33),81,Häcken
5,DF,Erik Edman,11 November 1978 (aged 27),37,Rennes
6,MF,Tobias Linderoth,21 April 1979 (aged 27),58,Copenhagen
7,MF,Niclas Alexandersson,29 December 1971 (aged 34),87,IFK Göteborg
8,MF,Anders Svensson,17 July 1976 (aged 29),66,Elfsborg
9,MF,Fredrik Ljungberg,16 April 1977 (aged 29),57,Arsenal
10,FW,Zlatan Ibrahimović,3 October 1981 (aged 24),38,Juventus
11,FW,Henrik Larsson,20 September 1971 (aged 34),89,Barcelona[20]
12,GK,John Alvbåge,10 August 1982 (aged 23),2,Viborg
13,DF,Petter Hansson,14 December 1976 (aged 29),13,Heerenveen
14,DF,Fredrik Stenman,2 June 1983 (aged 23),1,Bayer Leverkusen
15,DF,Karl Svensson,21 March 1984 (aged 22),1,IFK Göteborg[21]
16,MF,Kim Källström,24 August 1982 (aged 23),34,Rennes[22]
17,FW,Johan Elmander,27 May 1981 (aged 25),18,Brøndby[23]
18,MF,Mattias Jonson,16 January 1974 (aged 32),53,Djurgården
19,MF,Daniel Andersson,28 August 1977 (aged 28),47,Malmö FF
20,FW,Marcus Allbäck,5 July 1973 (aged 32),56,Copenhagen
21,MF,Christian Wilhelmsson,8 December 1979 (aged 26),29,Anderlecht
22,FW,Markus Rosenberg,27 September 1982 (aged 23),8,Ajax
23,GK,Rami Shaaban,30 June 1975 (aged 30),1,Fredrikstad
Trinidad/Tob.
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Shaka Hislop,22 February 1969 (aged 37),24,West Ham United[24]
2,DF,Ian Cox,25 March 1971 (aged 35),16,Gillingham
3,DF,Avery John,18 June 1975 (aged 30),57,New England Revolution
4,DF,Marvin Andrews,22 December 1975 (aged 30),98,Rangers
5,DF,Brent Sancho,13 March 1977 (aged 29),40,Gillingham
6,DF,Dennis Lawrence,1 August 1974 (aged 31),63,Wrexham[25]
7,MF,Chris Birchall,5 May 1984 (aged 22),19,Port Vale
8,DF,Cyd Gray,21 November 1973 (aged 32),39,San Juan Jabloteh
9,MF,Aurtis Whitley,1 May 1977 (aged 29),24,San Juan Jabloteh
10,MF,Russell Latapy,2 August 1968 (aged 37),66,Falkirk
11,MF,Carlos Edwards,24 October 1978 (aged 27),51,Luton Town
12,FW,Collin Samuel,27 August 1981 (aged 24),18,Dundee United
13,FW,Cornell Glen,21 October 1980 (aged 25),35,LA Galaxy
14,FW,Stern John,30 October 1976 (aged 29),95,Coventry City
15,FW,Kenwyne Jones,5 October 1984 (aged 21),29,Southampton
16,MF,Evans Wise,23 November 1973 (aged 32),16,Waldhof Mannheim
17,DF,David Atiba Charles,29 August 1977 (aged 28),19,W Connection
18,MF,Densill Theobald,27 June 1982 (aged 23),38,Falkirk
19,FW,Dwight Yorke ,3 November 1971 (aged 34),54,Sydney FC
20,FW,Jason Scotland,18 February 1979 (aged 27),25,St. Johnstone
21,GK,Kelvin Jack,29 April 1976 (aged 30),32,Dundee
22,GK,Clayton Ince,12 July 1972 (aged 33),63,Coventry City
23,MF,Anthony Wolfe,23 December 1983 (aged 22),4,San Juan Jabloteh
Argentina
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Roberto Abbondanzieri,19 August 1972 (aged 33),22,Boca Juniors
2,DF,Roberto Ayala,14 April 1973 (aged 33),100,Valencia
3,DF,Juan Pablo Sorín ,5 May 1976 (aged 30),71,Villarreal
4,DF,Fabricio Coloccini,22 January 1982 (aged 24),23,Deportivo La Coruña
5,MF,Esteban Cambiasso,18 August 1980 (aged 25),22,Internazionale
6,DF,Gabriel Heinze,19 April 1978 (aged 28),29,Manchester United
7,FW,Javier Saviola,11 December 1981 (aged 24),31,Barcelona[26]
8,MF,Javier Mascherano,8 June 1984 (aged 22),15,Corinthians
9,FW,Hernán Crespo,5 July 1975 (aged 30),55,Chelsea
10,MF,Juan Román Riquelme,24 June 1978 (aged 27),31,Villarreal
11,FW,Carlos Tevez,5 February 1984 (aged 22),21,Corinthians
12,GK,Leo Franco,29 May 1977 (aged 29),3,Atlético Madrid
13,DF,Lionel Scaloni,16 May 1978 (aged 28),6,Deportivo La Coruña[27]
14,FW,Rodrigo Palacio,5 February 1982 (aged 24),2,Boca Juniors
15,DF,Gabriel Milito,7 September 1980 (aged 25),15,Real Zaragoza
16,MF,Pablo Aimar,3 November 1979 (aged 26),40,Valencia
17,DF,Leandro Cufré,9 May 1978 (aged 28),2,Roma
18,MF,Maxi Rodríguez,2 January 1981 (aged 25),13,Atlético Madrid
19,FW,Lionel Messi,24 June 1987 (aged 18),7,Barcelona
20,FW,Julio Cruz,10 October 1974 (aged 31),15,Internazionale
21,DF,Nicolás Burdisso,12 April 1981 (aged 25),8,Internazionale
22,MF,Lucho González,19 January 1981 (aged 25),27,Porto
23,GK,Óscar Ustari,3 July 1986 (aged 19),0,Independiente
Ivory Coast
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Jean-Jacques Tizié,7 September 1972 (aged 33),24,Espérance
2,MF,Kanga Akalé,7 March 1981 (aged 25),22,Auxerre
3,DF,Arthur Boka,2 April 1983 (aged 23),23,Strasbourg
4,DF,Kolo Touré,19 March 1981 (aged 25),42,Arsenal
5,MF,Didier Zokora,14 December 1980 (aged 25),38,Saint-Étienne
6,DF,Blaise Kouassi,2 February 1974 (aged 32),36,Troyes
7,MF,Emerse Faé,24 January 1984 (aged 22),14,Nantes
8,FW,Bonaventure Kalou,12 January 1978 (aged 28),49,Paris Saint-Germain
9,FW,Arouna Koné,11 November 1983 (aged 22),17,PSV Eindhoven
10,MF,Gilles Yapi Yapo,13 January 1982 (aged 24),26,Young Boys
11,FW,Didier Drogba,11 March 1978 (aged 28),32,Chelsea
