Argentina
No.,Pos.,Player,Date of birth (age),Caps,Club
6,MF,Søren Lerby,1 February 1958 (aged 28),51,Bayern Munich
7,MF,Jan Mølby,4 July 1963 (aged 22),20,Liverpool
8,FW,Jesper Olsen,20 March 1961 (aged 25),26,Manchester United
9,MF,Klaus Berggreen,3 February 1958 (aged 28),32,Pisa
10,FW,Preben Elkjær Larsen,11 September 1957 (aged 28),56,Hellas Verona
11,MF,Michael Laudrup,15 June 1964 (aged 21),30,Juventus
12,MF,Jens Jørn Bertelsen,15 February 1952 (aged 34),58,Aarau
13,MF,Per Frimann,4 June 1962 (aged 23),10,Anderlecht
14,FW,Allan Simonsen,15 December 1952 (aged 33),53,Vejle
15,MF,Frank Arnesen,30 September 1956 (aged 29),45,PSV
16,GK,Ole Qvist,25 February 1950 (aged 36),38,KB
17,DF,Kent Nielsen,28 December 1961 (aged 24),4,Brønshøj
18,FW,Flemming Christensen,10 April 1958 (aged 28),10,Lyngby
19,FW,John Eriksen,20 November 1957 (aged 28),5,Feyenoord
20,MF,Jan Bartram,6 March 1962 (aged 24),3,AGF
21,DF,Henrik Andersen,7 May 1965 (aged 21),6,Anderlecht
22,GK,Lars Høgh,14 January 1959 (aged 27),3,Odense
Scotland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Jim Leighton,24 July 1958 (aged 27),26,Aberdeen
2,DF,Richard Gough,5 April 1962 (aged 24),23,Dundee United
3,DF,Maurice Malpas,3 August 1962 (aged 23),10,Dundee United
4,MF,Graeme Souness (Captain),6 May 1953 (aged 33),52,Sampdoria
5,DF,Alex McLeish,21 January 1959 (aged 27),43,Aberdeen
6,DF,Willie Miller,2 May 1955 (aged 31),48,Aberdeen
7,MF,Gordon Strachan,9 February 1957 (aged 29),34,Manchester United
8,DF,Roy Aitken,24 November 1958 (aged 27),20,Celtic
9,MF,Eamonn Bannon,18 April 1958 (aged 28),9,Dundee United
10,MF,Jim Bett,25 November 1959 (aged 26),17,Aberdeen
11,MF,Paul McStay,22 October 1964 (aged 21),14,Celtic
12,GK,Andy Goram,13 April 1964 (aged 22),3,Oldham Athletic
13,DF,Steve Nicol,11 December 1961 (aged 24),8,Liverpool
14,DF,David Narey,12 June 1956 (aged 29),28,Dundee United
15,DF,Arthur Albiston,14 July 1957 (aged 28),13,Manchester United
16,FW,Frank McAvennie,22 November 1959 (aged 26),2,West Ham United
17,FW,Steve Archibald,27 September 1956 (aged 29),26,Barcelona
18,FW,Graeme Sharp,16 October 1960 (aged 25),6,Everton
19,FW,Charlie Nicholas,30 December 1961 (aged 24),15,Arsenal
20,FW,Paul Sturrock,10 October 1956 (aged 29),17,Dundee United
21,FW,Davie Cooper,25 February 1956 (aged 30),14,Rangers
22,GK,Alan Rough,25 November 1951 (aged 34),53,Hibernian
Uruguay
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Rodolfo Rodríguez,20 January 1956 (aged 30),78,Santos
2,DF,Nelson Gutiérrez,13 April 1962 (aged 24),31,River Plate
3,DF,Eduardo Mario Acevedo,25 September 1959 (aged 26),37,Defensor Sporting
4,DF,Víctor Diogo,9 April 1958 (aged 28),31,Palmeiras
5,MF,Miguel Bossio,10 February 1960 (aged 26),27,Peñarol
6,DF,José Batista,6 March 1962 (aged 24),N/A,Deportivo Español
7,FW,Antonio Alzamendi,7 June 1956 (aged 29),N/A,River Plate
8,MF,Jorge Barrios (Captain),24 January 1961 (aged 25),53,Olympiacos
9,FW,Jorge da Silva,11 December 1961 (aged 24),N/A,Atlético Madrid
10,MF,Enzo Francescoli,12 November 1961 (aged 24),22,River Plate
11,MF,Sergio Santín,6 August 1956 (aged 29),14,Atlético Nacional
12,GK,Fernando Alvez,4 September 1959 (aged 26),N/A,Peñarol
13,DF,César Vega,2 September 1959 (aged 26),7,Danubio
14,DF,Darío Pereyra,19 October 1956 (aged 29),30,São Paulo
15,DF,Eliseo Rivero,27 December 1957 (aged 28),6,Peñarol
16,MF,Mario Saralegui,24 April 1959 (aged 27),26,Peñarol
17,MF,José Zalazar,26 October 1963 (aged 22),N/A,Peñarol
18,MF,Rubén Paz,8 August 1959 (aged 26),N/A,Internacional
19,FW,Venancio Ramos,20 June 1959 (aged 26),N/A,Lens
20,FW,Carlos Aguilera,21 September 1964 (aged 21),38,Nacional
21,FW,Wilmar Cabrera,31 July 1959 (aged 26),24,Valencia
22,GK,Celso Otero,1 February 1958 (aged 28),0,Montevideo Wanderers
Germany
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Harald Schumacher,6 March 1954 (aged 32),67,1. FC Köln
2,DF,Hans-Peter Briegel,11 October 1955 (aged 30),66,Hellas Verona
3,DF,Andreas Brehme,9 November 1960 (aged 25),23,1. FC Kaiserslautern
4,DF,Karlheinz Förster,25 July 1958 (aged 27),74,VfB Stuttgart
5,DF,Matthias Herget,14 November 1955 (aged 30),21,Bayer Uerdingen
6,DF,Norbert Eder,7 November 1955 (aged 30),2,Bayern Munich
7,FW,Pierre Littbarski,16 April 1960 (aged 26),40,1. FC Köln
8,MF,Lothar Matthäus,21 March 1961 (aged 25),41,Bayern Munich
9,FW,Rudi Völler,13 April 1960 (aged 26),31,Werder Bremen
10,MF,Felix Magath,26 July 1953 (aged 32),37,Hamburger SV
11,FW,Karl-Heinz Rummenigge (Captain),25 September 1955 (aged 30),88,Internazionale
12,GK,Uli Stein,23 October 1954 (aged 31),6,Hamburger SV
13,MF,Karl Allgöwer,5 January 1957 (aged 29),10,VfB Stuttgart
14,DF,Thomas Berthold,12 November 1964 (aged 21),12,Eintracht Frankfurt
15,DF,Klaus Augenthaler,26 September 1957 (aged 28),11,Bayern Munich
16,MF,Olaf Thon,1 May 1966 (aged 20),10,Schalke 04
17,DF,Ditmar Jakobs,28 August 1953 (aged 32),14,Hamburger SV
18,MF,Uwe Rahn,21 May 1962 (aged 24),9,Borussia Mönchengladbach
19,FW,Klaus Allofs,5 December 1956 (aged 29),40,1. FC Köln
20,FW,Dieter Hoeneß,7 January 1953 (aged 33),4,Bayern Munich
21,MF,Wolfgang Rolff,26 December 1959 (aged 26),17,Hamburger SV
22,GK,Eike Immel,27 November 1960 (aged 25),4,Borussia Dortmund
England
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Peter Shilton,18 September 1949 (aged 36),81,Southampton
2,DF,Gary M. Stevens,27 March 1963 (aged 23),9,Everton
3,DF,Kenny Sansom,26 September 1958 (aged 27),65,Arsenal
4,MF,Glenn Hoddle,27 October 1957 (aged 28),33,Tottenham Hotspur
5,DF,Alvin Martin,29 July 1958 (aged 27),15,West Ham United
6,DF,Terry Butcher,28 December 1958 (aged 27),40,Ipswich Town
7,MF,Bryan Robson (Captain),11 January 1957 (aged 29),51,Manchester United
8,MF,Ray Wilkins,14 September 1956 (aged 29),80,Milan
9,FW,Mark Hateley,7 November 1961 (aged 24),18,Milan
10,FW,Gary Lineker,30 November 1960 (aged 25),13,Everton
11,MF,Chris Waddle,14 December 1960 (aged 25),16,Tottenham Hotspur
12,DF,Viv Anderson,29 July 1956 (aged 29),21,Arsenal
13,GK,Chris Woods,14 November 1959 (aged 26),4,Norwich City
14,DF,Terry Fenwick,17 November 1959 (aged 26),15,Queens Park Rangers
15,DF,Gary A. Stevens,30 March 1962 (aged 24),5,Tottenham Hotspur
16,MF,Peter Reid,20 June 1956 (aged 29),6,Everton
17,MF,Trevor Steven,21 September 1963 (aged 22),10,Everton
18,MF,Steve Hodge,25 October 1962 (aged 23),3,Aston Villa
19,FW,John Barnes,7 November 1963 (aged 22),27,Watford
20,FW,Peter Beardsley,18 January 1961 (aged 25),5,Newcastle United
21,FW,Kerry Dixon,24 July 1961 (aged 24),6,Chelsea
22,GK,Gary Bailey,9 August 1958 (aged 27),2,Manchester United
Morocco
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Badou Zaki (Captain),2 April 1959 (aged 27),N/A,Wydad Casablanca
2,DF,Labid Khalifa,1 January 1955 (aged 31),N/A,Kenitra
3,DF,Abdelmajid Lamriss,12 February 1959 (aged 27),N/A,FAR Rabat
4,DF,Mustafa El Biyaz,12 December 1960 (aged 25),N/A,KAC Marrakesh
5,DF,Noureddine Bouyahyaoui,7 January 1955 (aged 31),N/A,Kenitra
6,MF,Abdelmajid Dolmy,19 April 1953 (aged 33),N/A,Raja Casablanca
7,MF,Mustafa El Haddaoui,28 July 1961 (aged 24),N/A,Lausanne
8,MF,Aziz Bouderbala,26 December 1960 (aged 25),N/A,Sion
9,FW,"Abdelkrim Merry ""Krimau""",13 January 1955 (aged 31),N/A,Le Havre
10,MF,Mohamed Timoumi,15 January 1960 (aged 26),N/A,FAR Rabat
11,FW,Mustafa Merry,21 April 1958 (aged 28),N/A,Valenciennes
12,GK,Salahdine Hmied,1 September 1961 (aged 24),N/A,FAR Rabat
13,FW,Abdelfettah Rhiati,25 February 1963 (aged 23),N/A,Maghreb Fez
14,DF,Lahcen Ouadani,14 July 1959 (aged 26),N/A,FAR Rabat
15,MF,Mouncif El Haddaoui,21 October 1964 (aged 21),N/A,AS Sale
16,MF,Azzedine Amanallah,7 April 1956 (aged 30),N/A,Besançon
17,FW,Abderrazak Khairi,20 November 1962 (aged 23),N/A,FAR Rabat
18,MF,Mohammed Sahil,11 October 1963 (aged 22),N/A,KAC Marrakesh
19,MF,Fadel Jilal,4 March 1964 (aged 22),N/A,Wydad Casablanca
20,DF,Abdellah Bidane,10 September 1965 (aged 20),N/A,CODM Meknes
21,MF,Abdelaziz Souleimani,30 April 1958 (aged 28),N/A,Maghreb Fez
22,GK,Abdelfettah Mouddani,30 July 1956 (aged 29),N/A,Kenitra
Poland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Józef Młynarczyk,20 September 1953 (aged 32),38,Porto
2,DF,Kazimierz Przybyś,11 July 1960 (aged 25),9,Widzew Łódź
3,DF,Władysław Żmuda,6 June 1954 (aged 31),90,Cremonese
4,DF,Marek Ostrowski,22 November 1959 (aged 26),26,Pogoń Szczecin
5,DF,Roman Wójcicki,8 January 1958 (aged 28),49,Widzew Łódź
6,MF,Waldemar Matysik,27 September 1961 (aged 24),42,Górnik Zabrze
7,MF,Ryszard Tarasiewicz,27 April 1962 (aged 24),12,Śląsk Wrocław
8,FW,Jan Urban,14 May 1962 (aged 24),13,Górnik Zabrze
9,FW,Jan Karaś,17 March 1959 (aged 27),6,Legia Warsaw
10,DF,Stefan Majewski,31 January 1956 (aged 30),36,1. FC Kaiserslautern
11,FW,Włodzimierz Smolarek,16 July 1957 (aged 28),48,Widzew Łódź
12,GK,Jacek Kazimierski,17 August 1959 (aged 26),16,Legia Warsaw
13,MF,Ryszard Komornicki,14 August 1959 (aged 26),14,Górnik Zabrze
14,DF,Dariusz Kubicki,6 June 1963 (aged 22),11,Legia Warsaw
15,MF,Andrzej Buncol,21 September 1959 (aged 26),49,Legia Warsaw
16,MF,Andrzej Pałasz,22 July 1960 (aged 25),34,Górnik Zabrze
17,FW,Andrzej Zgutczyński,1 January 1958 (aged 28),4,Górnik Zabrze
18,DF,Krzysztof Pawlak,12 February 1958 (aged 28),22,Lech Poznań
19,GK,Józef Wandzik,13 August 1963 (aged 22),3,Górnik Zabrze
20,MF,Zbigniew Boniek (Captain),3 March 1956 (aged 30),74,Roma
21,FW,Dariusz Dziekanowski,30 September 1962 (aged 23),33,Legia Warsaw
22,FW,Jan Furtok,9 March 1962 (aged 24),4,GKS Katowice
Portugal
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Manuel Bento (Captain),25 June 1948 (aged 37),62,Benfica
2,DF,João Pinto,21 November 1961 (aged 24),22,Porto
3,MF,António Sousa,28 April 1957 (aged 29),17,Sporting CP
4,MF,José Ribeiro,2 November 1957 (aged 28),2,Boavista
5,DF,Álvaro,3 January 1961 (aged 25),11,Benfica
6,MF,Carlos Manuel,15 January 1958 (aged 28),39,Benfica
7,MF,Jaime Pacheco,22 July 1958 (aged 27),21,Sporting CP
8,DF,Frederico,6 April 1957 (aged 29),5,Boavista
9,FW,Fernando Gomes,22 November 1956 (aged 29),42,Porto
10,FW,Paulo Futre,28 February 1966 (aged 20),10,Porto
11,DF,Fernando Bandeirinha,26 November 1962 (aged 23),0,Académica de Coimbra
12,GK,Jorge Martins,22 August 1954 (aged 31),0,Belenenses
13,DF,António Morato,6 November 1964 (aged 21),4,Sporting CP
14,MF,Jaime Magalhães,10 July 1962 (aged 23),7,Porto
15,DF,António Oliveira,8 June 1958 (aged 27),1,Benfica
16,DF,José António,29 October 1957 (aged 28),2,Belenenses
17,MF,Diamantino,3 August 1959 (aged 26),19,Benfica
18,DF,Luís Sobrinho,5 May 1961 (aged 25),0,Belenenses
19,FW,Rui Águas,28 April 1960 (aged 26),3,Benfica
20,DF,Augusto Inácio,1 February 1955 (aged 31),22,Porto
21,MF,António André,24 December 1957 (aged 28),5,Porto
22,GK,Vítor Damas,8 October 1947 (aged 38),27,Sporting CP
