edition,round,score1,score2,team1,team2,url,venue,year,,,,,,,,,
1938,FRANCE,PRELIMINARY,1,0,(0,0),Greece,Palestine ,1938_FRANCE_PR.htm,Athí_na.,1938,,,,,,
1938,FRANCE,PRELIMINARY,2,3,(2,1),Luxembourg ,Belgium,1938_FRANCE_PR.htm,Luxembourg.,1938,,,,,,
1938,FRANCE,PRELIMINARY,11,1,(7,1),Hungary,Greece,1938_FRANCE_PR.htm,Budapest.,1938,,,,,,
1938,FRANCE,PRELIMINARY,1,0,(0,0),Yugoslavia ,Poland ,1938_FRANCE_PR.htm,Beograd.,1938,,,,,,
1938,FRANCE,PRELIMINARY,1,1,(0,1),Belgium,Netherlands,1938_FRANCE_PR.htm,Antwerpen.,1938,,,,,,
1938,FRANCE,PRELIMINARY,6,0,(1,0),Czechoslovakia,Bulgaria,1938_FRANCE_PR.htm,Praha.,1938,,,,,,
1938,FRANCE,PRELIMINARY,2,1,(2,0),Switzerland ,Portugal,1938_FRANCE_PR.htm,Milano.,1938,,,,,,
1938,FRANCE,FIRST,1,1,(1,1) ,(a.e.t.),Switzerland ,Germany,1938_FRANCE_FS.htm#36,WC,38,I,Paris.,1938,,
1938,FRANCE,FIRST,2,1,(1,0) ,(a.e.t.),Italy,Norway,1938_FRANCE_FS.htm#37,WC,38,I,Marseille.,1938,,
1938,FRANCE,FIRST,3,1,(2,1),France,Belgium,1938_FRANCE_FS.htm#38,WC,38,I,Paris.,1938,,,
1938,FRANCE,FIRST,6,0,(4,0),Hungary,Dutch East Indies,1938_FRANCE_FS.htm#39,WC,38,I,Reims.,1938,,,
1938,FRANCE,FIRST,3,3,(1,1) ,(a.e.t.),Cuba,Romania ,1938_FRANCE_FS.htm#40,WC,38,I,Toulouse.,1938,,
1938,FRANCE,FIRST,6,5,(3,1) ,(a.e.t.),Brazil ,Poland ,1938_FRANCE_FS.htm#41,WC,38,I,Strasbourg.,1938,,
1938,FRANCE,FIRST,3,0,(0,0) ,(a.e.t.),Czechoslovakia,Netherlands,1938_FRANCE_FS.htm#42,WC,38,I,Le_Havre.,1938,,
1938,FRANCE,FIRST,4,2,(1,2) ,(r.),Switzerland ,Germany,1938_FRANCE_FS.htm#43,WC,38,I,Paris.,1938,,
1938,FRANCE,FIRST,2,1,(0,1) ,(r.),Cuba,Romania ,1938_FRANCE_FS.htm#44,WC,38,I,Toulouse.,1938,,
1938,FRANCE,1/4_FINAL,3,1,(1,1),Italy,France,1938_FRANCE_FS.htm#45,WC,38,II,Paris.,1938,,,
1938,FRANCE,1/4_FINAL,1,1,(1,0) ,(a.e.t.),Brazil ,Czechoslovakia,1938_FRANCE_FS.htm#46,WC,38,II,Bordeaux.,1938,,
1938,FRANCE,1/4_FINAL,2,0,(1,0),Hungary,Switzerland ,1938_FRANCE_FS.htm#47,WC,38,II,Lille.,1938,,,
1938,FRANCE,1/4_FINAL,8,0,(4,0),Sweden ,Cuba,1938_FRANCE_FS.htm#48,WC,38,II,Antibes.,1938,,,
1938,FRANCE,1/4_FINAL,2,1,(0,1) ,(r.),Brazil ,Czechoslovakia,1938_FRANCE_FS.htm#49,WC,38,II,Bordeaux.,1938,,
1938,FRANCE,1/2_FINAL,2,1,(0,0),Italy,Brazil ,1938_FRANCE_FS.htm#50,WC,38,III,Marseille.,1938,,,
1938,FRANCE,1/2_FINAL,5,1,(3,1),Hungary,Sweden ,1938_FRANCE_FS.htm#51,WC,38,III,Paris.,1938,,,
1938,FRANCE,PLACES_3&4,4,2,(1,2),Brazil ,Sweden ,1938_FRANCE_FS.htm#52,WC,38,IV,Bordeaux.,1938,,,
